time;icache.misses;cpu/instructions;arith.fpu_div_active;mem_uops_retired.all_loads;mem_uops_retired.all_stores;branch_instruction_retired;Branch_Misses_Retired;mem_load_uops_retired.l1_miss;label
0.1;23000;579000000;965000;1100000;1091000;10980000;119000;1089000;1
0.2;39000;545000000;984000;1100000;1092000;11000000;134000;514000;1
0.30000000000000004;54000;628000000;1100000;1100000;1100000;11000000;244000;72000;1
0.4;54000;623000000;1100000;1100000;1100000;11000000;249000;79000;1
0.5;34000;467000000;1100000;1100000;1100000;7170000;112000;772000;1
0.6000000000000001;25000;379000000;1100000;1100000;1100000;5280000;36000;1100000;1
0.7000000000000001;47000;344000000;1100000;1100000;1100000;5180000;17000;779000;1
0.8;38000;520000000;935000;1100000;1094000;9680000;86000;967000;1
0.9;27000;615000000;968000;1100000;1083000;11000000;93000;1036000;1
1.0;26000;599000000;1061000;1100000;1094000;11000000;79000;1071000;1
1.1;27000;617000000;957000;1100000;1079000;11000000;94000;1029000;1
1.2000000000000002;26000;613000000;957000;1100000;1083000;11000000;97000;1028000;1
1.3;33000;605000000;824000;1100000;1094000;11000000;321000;421000;1
1.4000000000000001;46000;835000000;387000;1100000;1100000;10980000;1091000;21000;1
1.5;48000;855000000;404000;1100000;1100000;11000000;1100000;22000;1
1.6;46000;848000000;405000;1100000;1100000;11000000;1098000;21000;1
1.7000000000000002;46000;844000000;450000;1100000;1100000;11000000;1099000;22000;1
1.8;54000;830000000;965000;1100000;1100000;11000000;1090000;28000;1
1.9000000000000001;51000;816000000;784000;1100000;1100000;11000000;1084000;28000;1
2.0;50000;831000000;750000;1100000;1100000;11000000;1100000;28000;1
2.1;48000;846000000;648000;1100000;1100000;11000000;1100000;23000;1
2.2;50000;841000000;686000;1100000;1100000;11000000;1100000;25000;1
2.3000000000000003;48000;844000000;574000;1100000;1100000;11000000;1100000;23000;1
2.4000000000000004;48000;844000000;562000;1100000;1100000;11000000;1100000;24000;1
2.5;50000;843000000;644000;1100000;1100000;11000000;1100000;24000;1
2.6;50000;842000000;688000;1100000;1100000;11000000;1100000;25000;1
2.7;48000;845000000;569000;1100000;1100000;11000000;1100000;23000;1
2.8000000000000003;50000;844000000;567000;1100000;1100000;11000000;1100000;24000;1
2.9000000000000004;48000;844000000;639000;1100000;1100000;11000000;1100000;23000;1
3.0;51000;842000000;690000;1100000;1100000;11000000;1100000;25000;1
3.1;49000;843000000;553000;1100000;1100000;11000000;1100000;24000;1
3.2;48000;845000000;569000;1100000;1100000;11000000;1100000;23000;1
3.3000000000000003;48000;843000000;658000;1100000;1100000;11000000;1100000;24000;1
3.4000000000000004;48000;843000000;653000;1100000;1100000;11000000;1100000;24000;1
3.5;50000;844000000;569000;1100000;1100000;11000000;1100000;24000;1
3.6;48000;846000000;562000;1100000;1100000;11000000;1100000;24000;1
3.7;49000;843000000;682000;1100000;1100000;11000000;1100000;24000;1
3.8000000000000003;49000;842000000;658000;1100000;1100000;11000000;1100000;25000;1
3.9000000000000004;48000;842000000;565000;1100000;1100000;11000000;1100000;24000;1
4.0;48000;847000000;552000;1100000;1100000;11000000;1100000;23000;1
4.1000000000000005;49000;841000000;698000;1100000;1100000;11000000;1100000;25000;1
4.2;48000;845000000;661000;1100000;1100000;11000000;1100000;23000;1
4.3;51000;830000000;753000;1100000;1100000;11000000;1099000;27000;1
4.4;51000;818000000;782000;1100000;1100000;11000000;1080000;29000;1
4.5;53000;820000000;979000;1100000;1100000;11000000;1093000;28000;1
4.6000000000000005;47000;848000000;435000;1100000;1100000;11000000;1100000;22000;1
4.7;46000;849000000;421000;1100000;1100000;11000000;1100000;21000;1
4.800000000000001;47000;855000000;393000;1100000;1100000;11000000;1100000;21000;1
4.9;46000;855000000;401000;1100000;1100000;11000000;1100000;22000;1
5.0;43000;806000000;519000;1100000;1100000;11000000;934000;29000;1
5.1000000000000005;46000;856000000;392000;1100000;1100000;11000000;1100000;21000;1
5.2;46000;850000000;431000;1100000;1100000;11000000;1099000;22000;1
5.300000000000001;45000;850000000;402000;1100000;1100000;11000000;1100000;21000;1
5.4;49000;844000000;680000;1100000;1100000;11000000;1100000;25000;1
5.5;55000;814000000;1050000;1100000;1100000;11000000;1084000;32000;1
5.6000000000000005;53000;820000000;785000;1100000;1100000;11000000;1099000;31000;1
5.7;50000;840000000;744000;1100000;1100000;11000000;1100000;26000;1
5.800000000000001;49000;843000000;598000;1100000;1100000;11000000;1100000;24000;1
5.9;48000;844000000;601000;1100000;1100000;11000000;1100000;24000;1
6.0;50000;838000000;708000;1100000;1100000;11000000;1100000;26000;1
6.1000000000000005;50000;841000000;633000;1100000;1100000;11000000;1100000;24000;1
6.2;49000;843000000;604000;1100000;1100000;11000000;1100000;25000;1
6.300000000000001;48000;843000000;625000;1100000;1100000;11000000;1100000;23000;1
6.4;50000;838000000;716000;1100000;1100000;11000000;1100000;26000;1
6.5;49000;843000000;613000;1100000;1100000;11000000;1100000;23000;1
6.6000000000000005;48000;841000000;606000;1100000;1100000;11000000;1100000;25000;1
6.7;49000;843000000;645000;1100000;1100000;11000000;1100000;24000;1
6.800000000000001;51000;838000000;697000;1100000;1100000;11000000;1100000;26000;1
6.9;48000;844000000;603000;1100000;1100000;11000000;1100000;24000;1
7.0;50000;841000000;604000;1100000;1100000;11000000;1100000;25000;1
7.1000000000000005;49000;843000000;648000;1100000;1100000;11000000;1100000;24000;1
7.2;50000;839000000;708000;1100000;1100000;11000000;1100000;26000;1
7.300000000000001;48000;844000000;591000;1100000;1100000;11000000;1100000;24000;1
7.4;50000;842000000;610000;1100000;1100000;11000000;1100000;25000;1
7.5;50000;840000000;673000;1100000;1100000;11000000;1100000;25000;1
7.6000000000000005;50000;841000000;706000;1100000;1100000;11000000;1100000;26000;1
7.7;49000;842000000;596000;1100000;1100000;11000000;1100000;24000;1
7.800000000000001;48000;843000000;602000;1100000;1100000;11000000;1100000;25000;1
7.9;50000;839000000;714000;1100000;1100000;11000000;1100000;25000;1
8.0;54000;816000000;857000;1100000;1100000;11000000;1092000;31000;1
8.1;55000;816000000;972000;1100000;1100000;11000000;1091000;31000;1
8.200000000000001;52000;839000000;760000;1100000;1100000;11000000;1090000;27000;1
8.3;46000;848000000;410000;1100000;1100000;11000000;1100000;21000;1
8.4;46000;850000000;427000;1100000;1100000;11000000;1100000;22000;1
8.5;47000;856000000;392000;1100000;1100000;11000000;1100000;21000;1
8.6;43000;807000000;520000;1100000;1100000;11000000;938000;30000;1
8.700000000000001;49000;855000000;500000;1100000;1100000;11000000;1100000;23000;1
8.8;47000;847000000;443000;1100000;1100000;11000000;1098000;22000;1
8.9;45000;848000000;403000;1100000;1100000;11000000;1100000;21000;1
9.0;48000;847000000;538000;1100000;1100000;11000000;1100000;23000;1
9.1;54000;831000000;849000;1100000;1100000;11000000;1098000;29000;1
9.200000000000001;54000;813000000;867000;1100000;1100000;11000000;1100000;31000;1
9.3;53000;823000000;862000;1100000;1100000;11000000;1100000;31000;1
9.4;50000;835000000;729000;1100000;1100000;11000000;1100000;25000;1
9.5;48000;845000000;594000;1100000;1100000;11000000;1100000;24000;1
9.600000000000001;50000;839000000;687000;1100000;1100000;11000000;1100000;26000;1
9.700000000000001;49000;844000000;618000;1100000;1100000;11000000;1100000;24000;1
9.8;47000;843000000;569000;1100000;1100000;11000000;1100000;24000;1
9.9;49000;845000000;595000;1100000;1100000;11000000;1100000;24000;1
10.0;49000;840000000;662000;1100000;1100000;11000000;1100000;26000;1
10.100000000000001;48000;846000000;614000;1100000;1100000;11000000;1100000;23000;1
10.200000000000001;48000;844000000;560000;1100000;1100000;11000000;1100000;24000;1
10.3;48000;844000000;611000;1100000;1100000;11000000;1100000;23000;1
10.4;49000;832000000;664000;1100000;1100000;11000000;1100000;25000;1
10.5;49000;845000000;579000;1100000;1100000;11000000;1100000;23000;1
10.600000000000001;47000;844000000;558000;1100000;1100000;11000000;1100000;24000;1
10.700000000000001;49000;844000000;618000;1100000;1100000;11000000;1100000;24000;1
10.8;49000;840000000;683000;1100000;1100000;11000000;1100000;25000;1
10.9;48000;846000000;574000;1100000;1100000;11000000;1100000;24000;1
11.0;49000;844000000;558000;1100000;1100000;11000000;1100000;24000;1
11.100000000000001;48000;837000000;623000;1100000;1100000;11000000;1100000;25000;1
11.200000000000001;48000;838000000;681000;1100000;1100000;11000000;1100000;25000;1
11.3;47000;845000000;555000;1100000;1100000;11000000;1100000;24000;1
11.4;47000;844000000;561000;1100000;1100000;11000000;1100000;25000;1
11.5;50000;843000000;659000;1100000;1100000;11000000;1100000;25000;1
11.600000000000001;52000;833000000;904000;1100000;1100000;11000000;1100000;28000;1
11.700000000000001;53000;815000000;786000;1100000;1100000;11000000;1098000;31000;1
11.8;55000;815000000;1043000;1100000;1100000;11000000;1100000;32000;1
11.9;48000;840000000;549000;1100000;1100000;11000000;1098000;23000;1
12.0;47000;843000000;455000;1100000;1100000;11000000;1100000;22000;1
12.100000000000001;45000;847000000;410000;1100000;1100000;11000000;1100000;22000;1
12.200000000000001;48000;852000000;495000;1100000;1100000;11000000;1099000;22000;1
12.3;35000;608000000;828000;1100000;1100000;8380000;514000;534000;1
12.4;24000;356000000;1100000;1100000;1100000;4970000;34000;1100000;1
12.5;40000;350000000;1100000;1100000;1100000;5470000;22000;773000;1
12.600000000000001;25000;463000000;1089000;1100000;1100000;7650000;59000;1012000;1
12.700000000000001;34000;538000000;924000;1100000;1100000;10960000;124000;988000;1
12.8;22000;571000000;957000;1100000;1083000;10950000;127000;1026000;1
12.9;23000;566000000;997000;1100000;1089000;11010000;117000;1050000;1
13.0;22000;573000000;957000;1100000;1077000;10980000;126000;1028000;1
13.100000000000001;24000;567000000;1012000;1100000;1094000;10990000;119000;1067000;1
13.200000000000001;22000;558000000;1034000;1100000;1094000;10970000;120000;1050000;1
13.3;24000;573000000;963000;1100000;1083000;10970000;125000;1027000;1
13.4;29000;547000000;907000;1100000;1094000;11000000;242000;523000;1
13.5;47000;856000000;423000;1100000;1100000;11000000;1100000;21000;1
13.600000000000001;46000;855000000;413000;1100000;1100000;11000000;1100000;21000;1
13.700000000000001;46000;848000000;479000;1100000;1100000;11000000;1100000;22000;1
13.8;48000;843000000;650000;1100000;1100000;11000000;1100000;22000;1
13.9;51000;842000000;848000;1100000;1100000;11000000;1098000;26000;1
14.0;51000;840000000;879000;1100000;1100000;11000000;1100000;25000;1
14.100000000000001;49000;842000000;659000;1100000;1100000;11000000;1100000;23000;1
14.200000000000001;50000;843000000;700000;1100000;1100000;11000000;1100000;24000;1
14.3;51000;833000000;760000;1100000;1100000;11000000;1100000;24000;1
14.4;49000;831000000;722000;1100000;1100000;11000000;1090000;25000;1
14.5;50000;844000000;662000;1100000;1100000;11000000;1100000;24000;1
14.600000000000001;50000;842000000;805000;1100000;1100000;11000000;1100000;25000;1
14.700000000000001;51000;839000000;860000;1100000;1100000;11000000;1100000;25000;1
14.8;50000;837000000;792000;1100000;1100000;11000000;1100000;26000;1
14.9;51000;843000000;802000;1100000;1100000;11000000;1100000;25000;1
15.0;51000;843000000;799000;1100000;1100000;11000000;1100000;25000;1
15.100000000000001;51000;842000000;835000;1100000;1100000;11000000;1100000;26000;1
15.200000000000001;52000;843000000;893000;1100000;1100000;11000000;1100000;26000;1
15.3;52000;841000000;875000;1100000;1100000;11000000;1100000;26000;1
15.4;51000;832000000;835000;1100000;1100000;11000000;1100000;26000;1
15.5;51000;843000000;822000;1100000;1100000;11000000;1100000;25000;1
15.600000000000001;52000;844000000;801000;1100000;1100000;11000000;1100000;25000;1
15.700000000000001;50000;842000000;805000;1100000;1100000;11000000;1100000;25000;1
15.8;51000;843000000;795000;1100000;1100000;11000000;1100000;25000;1
15.9;50000;843000000;831000;1100000;1100000;11000000;1100000;26000;1
16.0;51000;844000000;834000;1100000;1100000;11000000;1100000;25000;1
16.1;51000;841000000;842000;1100000;1100000;11000000;1100000;26000;1
16.2;52000;842000000;861000;1100000;1100000;11000000;1100000;26000;1
16.3;51000;841000000;889000;1100000;1100000;11000000;1100000;26000;1
16.400000000000002;51000;835000000;798000;1100000;1100000;11000000;1100000;25000;1
16.5;52000;841000000;847000;1100000;1100000;11000000;1100000;26000;1
16.6;52000;841000000;828000;1100000;1100000;11000000;1100000;26000;1
16.7;50000;836000000;777000;1100000;1100000;11000000;1100000;24000;1
16.8;50000;839000000;800000;1100000;1100000;11000000;1100000;25000;1
16.900000000000002;50000;842000000;778000;1100000;1100000;11000000;1100000;25000;1
17.0;51000;835000000;837000;1100000;1100000;11000000;1100000;26000;1
17.1;51000;843000000;824000;1100000;1100000;11000000;1100000;25000;1
17.2;49000;844000000;718000;1100000;1100000;11000000;1100000;23000;1
17.3;48000;844000000;709000;1100000;1100000;11000000;1100000;22000;1
17.400000000000002;52000;834000000;841000;1100000;1100000;11000000;1099000;26000;1
17.5;50000;843000000;685000;1100000;1100000;11000000;1100000;24000;1
17.6;51000;842000000;776000;1100000;1100000;11000000;1100000;24000;1
17.7;51000;841000000;769000;1100000;1100000;11000000;1100000;25000;1
17.8;50000;841000000;837000;1100000;1100000;11000000;1099000;25000;1
17.900000000000002;48000;842000000;676000;1100000;1100000;11000000;1099000;24000;1
18.0;48000;847000000;534000;1100000;1100000;11000000;1096000;22000;1
18.1;46000;856000000;415000;1100000;1100000;11000000;1100000;20000;1
18.2;48000;847000000;408000;1100000;1100000;11000000;1100000;22000;1
18.3;43000;800000000;589000;1100000;1100000;11000000;953000;30000;1
18.400000000000002;47000;850000000;411000;1100000;1100000;11000000;1100000;21000;1
18.5;47000;855000000;418000;1100000;1100000;11000000;1100000;21000;1
18.6;49000;841000000;668000;1100000;1100000;11000000;1099000;24000;1
18.7;50000;836000000;767000;1100000;1100000;11000000;1099000;25000;1
18.8;52000;838000000;782000;1100000;1100000;11000000;1100000;25000;1
18.900000000000002;51000;836000000;802000;1100000;1100000;11000000;1100000;25000;1
19.0;50000;839000000;722000;1100000;1100000;11000000;1100000;24000;1
19.1;50000;839000000;742000;1100000;1100000;11000000;1100000;26000;1
19.200000000000003;52000;835000000;944000;1100000;1100000;11000000;1098000;27000;1
19.3;48000;842000000;725000;1100000;1100000;11000000;1100000;24000;1
19.400000000000002;51000;838000000;745000;1100000;1100000;11000000;1100000;26000;1
19.5;53000;841000000;892000;1100000;1100000;11000000;1100000;27000;1
19.6;51000;836000000;819000;1100000;1100000;11000000;1100000;26000;1
19.700000000000003;51000;841000000;878000;1100000;1100000;11000000;1100000;27000;1
19.8;52000;841000000;857000;1100000;1100000;11000000;1100000;27000;1
19.900000000000002;51000;841000000;832000;1100000;1100000;11000000;1100000;26000;1
20.0;53000;843000000;882000;1100000;1100000;11000000;1100000;26000;1
20.1;52000;840000000;864000;1100000;1100000;11000000;1100000;27000;1
20.200000000000003;52000;841000000;872000;1100000;1100000;11000000;1100000;27000;1
20.3;52000;842000000;864000;1100000;1100000;11000000;1100000;26000;1
20.400000000000002;52000;829000000;934000;1100000;1100000;11000000;1100000;27000;1
20.5;53000;842000000;921000;1100000;1100000;11000000;1100000;27000;1
20.6;51000;840000000;877000;1100000;1100000;11000000;1100000;27000;1
20.700000000000003;52000;843000000;869000;1100000;1100000;11000000;1100000;26000;1
20.8;52000;841000000;881000;1100000;1100000;11000000;1100000;27000;1
20.900000000000002;52000;836000000;846000;1100000;1100000;11000000;1100000;26000;1
21.0;53000;840000000;845000;1100000;1100000;11000000;1100000;26000;1
