time;icache.misses;cpu/instructions;arith.fpu_div_active;mem_uops_retired.all_loads;mem_uops_retired.all_stores;branch_instruction_retired;Branch_Misses_Retired;mem_load_uops_retired.l1_miss;label
0.1;31000;533000000;6000;1100000;1100000;11000000;751000;468000;0
0.2;24000;619000000;54000;1100000;1100000;11000000;894000;430000;0
0.30000000000000004;90000;759000000;744000;1100000;1100000;11000000;300000;1018000;0
0.4;192000;354000000;342000;1100000;1100000;10700000;808000;1100000;0
0.5;93000;653000000;517000;1100000;1088000;10930000;281000;1100000;0
0.6000000000000001;48000;724000000;625000;1100000;1100000;11000000;240000;1100000;0
0.7000000000000001;38000;712000000;593000;1100000;1100000;11000000;239000;1100000;0
0.8;154000;477000000;545000;1100000;1100000;11000000;372000;1100000;0
0.9;25000;741000000;561000;1100000;1100000;11000000;210000;1100000;0
1.0;23000;731000000;638000;1100000;1100000;11000000;227000;1100000;0
1.1;26000;616000000;687000;1100000;1100000;11000000;241000;1100000;0
1.2000000000000002;80000;351000000;681000;1100000;1100000;10990000;478000;918000;0
1.3;230000;571000000;558000;1100000;1100000;11000000;125000;493000;0
1.4000000000000001;244000;575000000;674000;1100000;1100000;11000000;139000;507000;0
1.5;219000;578000000;559000;1100000;1100000;11000000;107000;495000;0
1.6;217000;535000000;631000;1100000;1100000;11000000;190000;575000;0
1.7000000000000002;27000;254000000;11000;1100000;1100000;11000000;626000;1100000;0
1.8;26000;256000000;10000;1100000;1100000;10840000;700000;1096000;0
1.9000000000000001;966000;429000000;958000;1100000;1100000;10960000;1077000;1055000;0
2.0;1100000;464000000;1100000;1100000;1100000;11000000;1100000;1018000;0
2.1;734000;377000000;707000;1100000;1098000;11000000;976000;1027000;0
2.2;193000;533000000;458000;1100000;1100000;10970000;156000;571000;0
2.3000000000000003;194000;513000000;519000;1100000;1100000;11000000;160000;611000;0
2.4000000000000004;29000;213000000;14000;1100000;1100000;11000000;563000;1100000;0
2.5;28000;239000000;118000;1100000;1100000;10770000;568000;1099000;0
2.6;147000;217000000;283000;1100000;1100000;10670000;519000;892000;0
2.7;48000;608000000;118000;1100000;1100000;11000000;734000;1100000;0
2.8000000000000003;48000;616000000;97000;1100000;1100000;11000000;733000;1100000;0
2.9000000000000004;46000;622000000;85000;1100000;1100000;11000000;692000;1100000;0
3.0;46000;617000000;59000;1100000;1100000;11000000;665000;1100000;0
3.1;48000;628000000;62000;1100000;1100000;11000000;675000;1100000;0
3.2;48000;617000000;62000;1100000;1100000;11000000;667000;1100000;0
3.3000000000000003;47000;624000000;63000;1100000;1100000;11000000;662000;1100000;0
3.4000000000000004;47000;618000000;51000;1100000;1100000;11000000;686000;1100000;0
3.5;48000;596000000;70000;1100000;1100000;11000000;698000;1100000;0
3.6;48000;611000000;95000;1100000;1100000;11000000;710000;1100000;0
3.7;61000;495000000;60000;1100000;1100000;11000000;625000;1031000;0
3.8000000000000003;61000;286000000;4000;1100000;1100000;10710000;289000;995000;0
3.9000000000000004;55000;175000000;194000;1100000;1098000;9500000;506000;1058000;0
4.0;583000;368000000;1012000;1100000;1100000;10890000;860000;954000;0
4.1000000000000005;381000;264000000;361000;1100000;1098000;10970000;872000;1028000;0
4.2;348000;284000000;322000;1100000;1071000;10660000;656000;1026000;0
4.3;70000;263000000;67000;1100000;1076000;10720000;460000;980000;0
4.4;112000;324000000;107000;1100000;1100000;10970000;335000;979000;0
4.5;479000;300000000;486000;1100000;1100000;10940000;894000;1042000;0
4.6000000000000005;1100000;489000000;1100000;1100000;1100000;11000000;1100000;871000;0
4.7;369000;510000000;530000;1100000;1100000;10960000;337000;626000;0
4.800000000000001;233000;578000000;558000;1100000;1100000;11000000;84000;490000;0
4.9;207000;576000000;469000;1100000;1100000;11000000;69000;473000;0
5.0;179000;453000000;512000;1100000;1096000;11000000;217000;687000;0
5.1000000000000005;483000;288000000;693000;1100000;1100000;11000000;734000;1078000;0
5.2;623000;336000000;1024000;1100000;1100000;11000000;768000;1100000;0
5.300000000000001;243000;286000000;481000;1100000;1100000;11000000;401000;727000;0
5.4;160000;275000000;335000;1100000;1100000;11000000;310000;636000;0
5.5;301000;301000000;921000;1100000;1067000;10580000;642000;915000;0
5.6000000000000005;1078000;396000000;1078000;1100000;1088000;11000000;1083000;548000;0
5.7;1100000;438000000;1100000;1100000;1100000;11000000;1100000;495000;0
5.800000000000001;202000;245000000;737000;1100000;1098000;10950000;591000;1013000;0
5.9;93000;125000000;72000;1100000;1100000;11000000;261000;1100000;0
6.0;66000;83000000;32000;1100000;1100000;11000000;197000;1100000;0
6.1000000000000005;57000;74000000;26000;1100000;1100000;11000000;175000;1100000;0
6.2;53000;69000000;21000;1100000;1100000;11000000;163000;1100000;0
6.300000000000001;52000;65000000;16000;1100000;1100000;11000000;158000;1100000;0
6.4;53000;64000000;17000;1100000;1100000;11000000;177000;1100000;0
6.5;48000;64000000;14000;1100000;1100000;11000000;186000;1100000;0
6.6000000000000005;54000;63000000;17000;1100000;1100000;11000000;200000;1100000;0
6.7;48000;63000000;15000;1100000;1100000;11000000;215000;1100000;0
6.800000000000001;51000;62000000;16000;1100000;1100000;11000000;219000;1100000;0
6.9;47000;65000000;30000;1100000;1100000;11000000;259000;1100000;0
7.0;35000;62000000;17000;1100000;1100000;11000000;218000;1100000;0
7.1000000000000005;36000;66000000;18000;1100000;1100000;11000000;201000;1100000;0
7.2;36000;71000000;32000;1100000;1100000;11000000;180000;1100000;0
7.300000000000001;45000;106000000;66000;1100000;1100000;11000000;251000;1100000;0
7.4;38000;77000000;50000;1100000;1100000;11000000;257000;1100000;0
7.5;34000;64000000;15000;1100000;1100000;11000000;210000;1100000;0
7.6000000000000005;34000;68000000;25000;1100000;1100000;11000000;183000;1100000;0
7.7;40000;82000000;40000;1100000;1100000;11000000;202000;1100000;0
7.800000000000001;54000;107000000;89000;1100000;1100000;11000000;293000;1100000;0
7.9;44000;66000000;13000;1100000;1100000;11000000;184000;1100000;0
8.0;43000;77000000;26000;1100000;1100000;11000000;192000;1100000;0
8.1;79000;217000000;357000;1100000;1100000;11000000;577000;1092000;0
8.200000000000001;59000;371000000;676000;1100000;1100000;11000000;932000;1080000;0
8.3;100000;290000000;743000;1100000;1100000;10960000;881000;1074000;0
8.4;852000;420000000;1060000;1100000;1100000;11000000;1086000;1076000;0
8.5;651000;410000000;1023000;1100000;1100000;11000000;1066000;1079000;0
8.6;672000;301000000;799000;1100000;1100000;11000000;672000;1085000;0
8.700000000000001;371000;605000000;1073000;1100000;1100000;11000000;400000;715000;0
8.8;320000;493000000;965000;1100000;1100000;11000000;403000;685000;0
8.9;372000;605000000;1070000;1100000;1100000;11000000;376000;706000;0
9.0;283000;424000000;719000;1100000;1100000;11000000;327000;691000;0
9.1;136000;312000000;38000;1100000;1100000;11000000;245000;980000;0
9.200000000000001;67000;376000000;20000;1100000;1100000;11000000;395000;1082000;0
9.3;172000;292000000;885000;1100000;1100000;11000000;540000;854000;0
9.4;73000;236000000;611000;1100000;1086000;10860000;80000;546000;0
9.5;219000;313000000;1089000;1100000;1100000;10990000;790000;1071000;0
9.600000000000001;229000;322000000;1056000;1100000;1100000;11000000;984000;1100000;0
9.700000000000001;670000;298000000;690000;1100000;1100000;10870000;872000;1092000;0
9.8;251000;189000000;478000;1100000;1071000;10490000;682000;1079000;0
9.9;723000;433000000;1088000;1100000;1100000;11000000;996000;1074000;0
10.0;783000;370000000;1078000;1100000;1100000;11000000;993000;1057000;0
10.100000000000001;398000;358000000;788000;1100000;1098000;11000000;852000;1029000;0
10.200000000000001;56000;208000000;25000;1100000;1093000;11000000;191000;544000;0
10.3;51000;409000000;365000;1100000;1095000;11000000;665000;967000;0
10.4;35000;709000000;5000;1100000;1100000;11000000;144000;400000;0
10.5;25000;624000000;5000;1100000;1100000;11000000;853000;532000;0
10.600000000000001;28000;724000000;504000;1100000;1100000;11000000;459000;781000;0
10.700000000000001;42000;523000000;430000;1100000;1100000;10810000;664000;1102000;0
10.8;35000;595000000;849000;1100000;1094000;10990000;510000;1100000;0
10.9;27000;704000000;1077000;1100000;1100000;11000000;292000;1100000;0
11.0;27000;674000000;977000;1100000;1100000;11000000;284000;1100000;0
11.100000000000001;30000;533000000;961000;1100000;1100000;11000000;428000;1100000;0
11.200000000000001;27000;728000000;1057000;1100000;1100000;11000000;262000;1100000;0
11.3;27000;715000000;1087000;1100000;1100000;11000000;293000;1100000;0
11.4;27000;708000000;1072000;1100000;1100000;11000000;282000;1100000;0
11.5;81000;378000000;737000;1100000;1100000;11000000;451000;938000;0
11.600000000000001;245000;574000000;565000;1100000;1100000;11000000;107000;497000;0
11.700000000000001;255000;575000000;694000;1100000;1100000;11000000;144000;523000;0
11.8;234000;579000000;569000;1100000;1100000;11000000;115000;508000;0
11.9;194000;481000000;544000;1100000;1100000;11000000;278000;695000;0
12.0;31000;272000000;11000;1100000;1100000;11000000;736000;1100000;0
12.100000000000001;32000;275000000;12000;1100000;1100000;11000000;740000;1100000;0
12.200000000000001;651000;410000000;634000;1100000;1100000;10910000;1053000;1048000;0
12.3;1100000;464000000;1100000;1100000;1100000;11000000;1100000;1003000;0
12.4;1003000;442000000;983000;1100000;1100000;11000000;1088000;1012000;0
12.5;174000;492000000;387000;1100000;1100000;11000000;274000;671000;0
12.600000000000001;223000;545000000;583000;1100000;1100000;11000000;121000;570000;0
12.700000000000001;31000;229000000;10000;1100000;1100000;11000000;649000;1100000;0
12.8;31000;234000000;12000;1100000;1100000;11000000;652000;1100000;0
12.9;34000;277000000;370000;1100000;1100000;10790000;623000;1062000;0
13.0;138000;289000000;269000;1100000;1100000;10850000;639000;971000;0
13.100000000000001;50000;603000000;6000;1100000;1100000;11000000;689000;1100000;0
13.200000000000001;51000;607000000;6000;1100000;1100000;11000000;674000;1100000;0
13.3;51000;608000000;6000;1100000;1100000;11000000;658000;1100000;0
13.4;48000;620000000;6000;1100000;1100000;11000000;662000;1100000;0
13.5;47000;605000000;6000;1100000;1100000;11000000;671000;1100000;0
13.600000000000001;47000;616000000;6000;1100000;1100000;11000000;688000;1100000;0
13.700000000000001;49000;613000000;6000;1100000;1100000;11000000;672000;1100000;0
13.8;49000;600000000;6000;1100000;1100000;11000000;642000;1100000;0
13.9;50000;605000000;6000;1100000;1100000;11000000;665000;1100000;0
14.0;51000;598000000;6000;1100000;1100000;11000000;682000;1098000;0
14.100000000000001;57000;358000000;4000;1100000;1100000;10920000;551000;1052000;0
14.200000000000001;62000;194000000;183000;1100000;1100000;9800000;498000;988000;0
14.3;628000;336000000;607000;1100000;1100000;10980000;1001000;959000;0
14.4;584000;330000000;826000;1100000;1084000;10770000;875000;969000;0
14.5;67000;269000000;18000;1100000;1090000;10870000;605000;1100000;0
14.600000000000001;65000;273000000;43000;1100000;1100000;11000000;583000;1096000;0
14.700000000000001;1014000;458000000;1013000;1100000;1100000;10980000;1081000;921000;0
14.8;813000;474000000;858000;1100000;1100000;11000000;844000;825000;0
14.9;206000;579000000;488000;1100000;1100000;11000000;95000;481000;0
15.0;231000;576000000;590000;1100000;1100000;11000000;121000;504000;0
15.100000000000001;220000;575000000;574000;1100000;1100000;11000000;108000;500000;0
15.200000000000001;167000;275000000;567000;1100000;1096000;11000000;749000;1066000;0
15.3;290000;363000000;1028000;1100000;1100000;11000000;845000;1100000;0
15.4;130000;303000000;512000;1100000;1100000;11000000;490000;746000;0
15.5;86000;281000000;337000;1100000;1100000;11000000;357000;631000;0
15.600000000000001;497000;321000000;978000;1100000;1067000;10700000;803000;829000;0
