time;icache.misses;cpu/instructions;arith.fpu_div_active;mem_uops_retired.all_loads;mem_uops_retired.all_stores;branch_instruction_retired;Branch_Misses_Retired;mem_load_uops_retired.l1_miss;label
0.1;22000;652000000;6000;1100000;1037000;11000000;2000;840000;0
0.2;24000;584000000;6000;1100000;1025000;11000000;3000;953000;0
0.30000000000000004;24000;667000000;6000;1100000;901000;11000000;3000;1037000;0
0.4;25000;715000000;6000;1100000;856000;11000000;3000;1034000;0
0.5;26000;800000000;6000;1100000;779000;11000000;3000;1050000;0
0.6000000000000001;27000;814000000;6000;1100000;761000;11000000;3000;1027000;0
0.7000000000000001;23000;861000000;6000;1100000;902000;11000000;3000;765000;0
0.8;24000;611000000;4000;1100000;1008000;11000000;3000;957000;0
0.9;23000;624000000;6000;1100000;962000;11000000;3000;1008000;0
1.0;24000;644000000;6000;1100000;925000;11000000;3000;1047000;0
1.1;26000;783000000;6000;1100000;793000;11000000;3000;1028000;0
1.2000000000000002;26000;792000000;6000;1100000;776000;11000000;3000;1039000;0
1.3;27000;867000000;6000;1100000;725000;11000000;3000;1017000;0
1.4000000000000001;22000;762000000;6000;1100000;995000;11000000;3000;736000;0
1.5;24000;618000000;6000;1100000;980000;11000000;3000;989000;0
1.6;23000;655000000;6000;1100000;914000;11000000;2000;1032000;0
1.7000000000000002;25000;679000000;6000;1100000;891000;11000000;3000;1036000;0
1.8;27000;836000000;6000;1100000;754000;11000000;3000;1018000;0
1.9000000000000001;26000;785000000;6000;1100000;778000;11000000;3000;1039000;0
2.0;26000;953000000;6000;1100000;732000;11000000;3000;886000;0
2.1;23000;657000000;6000;1100000;1011000;11000000;3000;879000;0
2.2;23000;608000000;6000;1100000;995000;11000000;3000;999000;0
2.3000000000000003;24000;670000000;6000;1100000;910000;11000000;3000;1052000;0
2.4000000000000004;25000;736000000;6000;1100000;848000;11000000;2000;1037000;0
2.5;26000;781000000;6000;1100000;787000;11000000;4000;1046000;0
2.6;27000;868000000;6000;1100000;725000;11000000;2000;1013000;0
2.7;24000;838000000;6000;1100000;910000;11000000;4000;750000;0
2.8000000000000003;23000;614000000;5000;1100000;981000;11000000;3000;1019000;0
2.9000000000000004;24000;667000000;5000;1100000;929000;11000000;2000;1016000;0
3.0;24000;666000000;6000;1100000;906000;11000000;3000;1017000;0
3.1;26000;783000000;6000;1100000;794000;11000000;3000;1033000;0
3.2;27000;830000000;6000;1100000;739000;11000000;3000;1038000;0
3.3000000000000003;24000;967000000;6000;1100000;793000;11000000;4000;769000;0
3.4000000000000004;24000;611000000;6000;1100000;968000;11000000;2000;1030000;0
3.5;23000;622000000;6000;1100000;972000;11000000;3000;986000;0
3.6;24000;657000000;6000;1100000;920000;11000000;3000;1024000;0
3.7;26000;734000000;6000;1100000;862000;11000000;3000;1022000;0
3.8000000000000003;26000;797000000;6000;1100000;773000;11000000;2000;1039000;0
3.9000000000000004;27000;933000000;6000;1100000;675000;11000000;3000;1008000;0
4.0;23000;743000000;6000;1100000;991000;11000000;4000;805000;0
4.1000000000000005;23000;612000000;6000;1100000;972000;11000000;2000;1025000;0
4.2;25000;690000000;6000;1100000;907000;11000000;3000;1032000;0
4.3;26000;776000000;6000;1100000;835000;11000000;3000;1016000;0
4.4;26000;833000000;6000;1100000;749000;11000000;3000;1017000;0
4.5;26000;807000000;4000;1100000;775000;11000000;3000;1037000;0
4.6000000000000005;27000;838000000;6000;1100000;758000;11000000;3000;1010000;0
4.7;22000;732000000;6000;1100000;987000;11000000;3000;780000;0
4.800000000000001;24000;651000000;4000;1100000;952000;11000000;3000;1032000;0
4.9;24000;636000000;5000;1100000;972000;11000000;2000;976000;0
5.0;23000;660000000;6000;1100000;950000;11000000;3000;986000;0
5.1000000000000005;27000;858000000;6000;1100000;732000;11000000;3000;1005000;0
5.2;26000;799000000;6000;1100000;776000;11000000;3000;1045000;0
5.300000000000001;27000;857000000;6000;1100000;739000;11000000;3000;1022000;0
5.4;22000;773000000;6000;1100000;946000;11000000;3000;801000;0
5.5;25000;669000000;6000;1100000;916000;11000000;3000;1033000;0
5.6000000000000005;24000;670000000;6000;1100000;924000;11000000;3000;987000;0
5.7;25000;729000000;6000;1100000;873000;11000000;2000;979000;0
5.800000000000001;27000;862000000;6000;1100000;733000;11000000;4000;1011000;0
5.9;26000;784000000;6000;1100000;784000;11000000;2000;1042000;0
6.0;27000;890000000;6000;1100000;714000;11000000;3000;1006000;0
6.1000000000000005;23000;815000000;6000;1100000;908000;11000000;4000;797000;0
6.2;24000;683000000;6000;1100000;901000;11000000;2000;1034000;0
6.300000000000001;25000;794000000;6000;1100000;827000;11000000;4000;966000;0
6.4;24000;691000000;10000;1100000;933000;11000000;3000;985000;0
6.5;24000;677000000;6000;1100000;918000;11000000;3000;983000;0
6.6000000000000005;27000;880000000;6000;1100000;710000;11000000;3000;1020000;0
6.7;27000;826000000;6000;1100000;758000;11000000;3000;1037000;0
6.800000000000001;25000;819000000;6000;1100000;844000;11000000;3000;898000;0
6.9;23000;708000000;6000;1100000;947000;11000000;3000;926000;0
7.0;23000;643000000;6000;1100000;930000;11000000;3000;1039000;0
7.1000000000000005;24000;611000000;6000;1100000;988000;11000000;2000;967000;0
7.2;25000;784000000;6000;1100000;827000;11000000;3000;968000;0
7.300000000000001;27000;809000000;6000;1100000;773000;11000000;3000;1037000;0
7.4;26000;813000000;5000;1100000;763000;11000000;3000;1045000;0
7.5;22000;808000000;6000;1100000;916000;11000000;3000;797000;0
7.6000000000000005;24000;647000000;6000;1100000;934000;11000000;3000;1056000;0
7.7;25000;616000000;6000;1100000;982000;11000000;3000;975000;0
7.800000000000001;23000;600000000;6000;1100000;1013000;11000000;2000;965000;0
7.9;26000;854000000;6000;1100000;740000;11000000;3000;1021000;0
8.0;26000;785000000;6000;1100000;775000;11000000;3000;1040000;0
8.1;26000;793000000;6000;1100000;791000;11000000;3000;1030000;0
8.200000000000001;23000;776000000;6000;1100000;951000;11000000;4000;812000;0
8.3;24000;663000000;6000;1100000;927000;11000000;2000;1049000;0
8.4;23000;604000000;6000;1100000;1009000;11000000;3000;954000;0
8.5;23000;666000000;6000;1100000;953000;11000000;3000;948000;0
8.6;27000;827000000;6000;1100000;755000;11000000;2000;1043000;0
8.700000000000001;26000;793000000;6000;1100000;771000;11000000;3000;1057000;0
8.8;24000;855000000;5000;1100000;885000;11000000;4000;799000;0
8.9;25000;642000000;6000;1100000;944000;11000000;3000;1043000;0
9.0;24000;627000000;6000;1100000;969000;11000000;2000;990000;0
9.1;22000;592000000;6000;1100000;1039000;11000000;3000;922000;0
