time;icache.misses;cpu/instructions;arith.fpu_div_active;mem_uops_retired.all_loads;mem_uops_retired.all_stores;branch_instruction_retired;Branch_Misses_Retired;mem_load_uops_retired.l1_miss;label
0.1;22000;124000000;6000;1100000;1100000;11000000;1100000;1100000;0
0.2;22000;119000000;7000;1100000;1100000;11000000;1100000;1100000;0
0.30000000000000004;22000;117000000;6000;1100000;1100000;10980000;1100000;1100000;0
0.4;22000;110000000;7000;1100000;1100000;10970000;1100000;1100000;0
0.5;22000;108000000;6000;1100000;1100000;10960000;1100000;1100000;0
0.6000000000000001;22000;111000000;6000;1100000;1100000;10910000;1100000;1100000;0
0.7000000000000001;21000;111000000;7000;1100000;1100000;10940000;1100000;1100000;0
0.8;22000;110000000;6000;1100000;1100000;10980000;1100000;1100000;0
0.9;23000;110000000;7000;1100000;1100000;11000000;1100000;1100000;0
1.0;21000;108000000;6000;1100000;1100000;11000000;1100000;1100000;0
1.1;22000;108000000;6000;1100000;1100000;11000000;1100000;1100000;0
1.2000000000000002;22000;108000000;6000;1100000;1100000;11000000;1100000;1100000;0
1.3;21000;107000000;6000;1100000;1100000;11000000;1100000;1100000;0
1.4000000000000001;22000;103000000;7000;1100000;1100000;10940000;1100000;1100000;0
1.5;23000;103000000;6000;1100000;1100000;10900000;1100000;1100000;0
1.6;22000;108000000;6000;1100000;1100000;11000000;1100000;1100000;0
1.7000000000000002;21000;110000000;6000;1100000;1100000;11000000;1100000;1100000;0
1.8;22000;107000000;7000;1100000;1100000;11000000;1099000;1100000;0
1.9000000000000001;22000;110000000;6000;1100000;1100000;11000000;1100000;1100000;0
2.0;22000;110000000;7000;1100000;1100000;11000000;1100000;1100000;0
2.1;21000;111000000;7000;1100000;1100000;11000000;1100000;1100000;0
2.2;22000;110000000;6000;1100000;1100000;11000000;1098000;1100000;0
2.3000000000000003;22000;108000000;6000;1100000;1100000;11000000;1099000;1100000;0
2.4000000000000004;22000;107000000;7000;1100000;1100000;11000000;1100000;1100000;0
2.5;22000;107000000;6000;1100000;1100000;11000000;1099000;1100000;0
2.6;22000;108000000;6000;1100000;1100000;11000000;1095000;1100000;0
2.7;21000;107000000;6000;1100000;1100000;11000000;1080000;1100000;0
2.8000000000000003;22000;108000000;6000;1100000;1100000;11000000;1039000;1100000;0
2.9000000000000004;23000;121000000;7000;1100000;963000;11000000;1010000;1100000;0
3.0;92000;252000000;6000;1100000;1100000;11000000;1100000;1100000;0
3.1;103000;238000000;6000;1100000;1100000;11000000;1100000;1100000;0
3.2;99000;227000000;7000;1100000;1100000;11000000;1100000;1100000;0
3.3000000000000003;102000;246000000;5000;1100000;1100000;11000000;1100000;1100000;0
3.4000000000000004;102000;252000000;6000;1100000;1100000;11000000;1100000;1100000;0
3.5;110000;259000000;6000;1100000;1100000;11000000;1100000;1100000;0
3.6;105000;264000000;6000;1100000;1100000;11000000;1100000;1100000;0
3.7;108000;265000000;6000;1100000;1100000;11000000;1100000;1100000;0
3.8000000000000003;108000;267000000;6000;1100000;1100000;11000000;1100000;1100000;0
3.9000000000000004;110000;268000000;6000;1100000;1100000;11000000;1100000;1100000;0
4.0;110000;269000000;6000;1100000;1100000;11000000;1100000;1100000;0
4.1000000000000005;112000;272000000;6000;1100000;1100000;11000000;1100000;1100000;0
4.2;79000;230000000;6000;1101000;1100000;10870000;781000;1100000;0
4.3;15000;132000000;5000;1101000;1100000;10150000;117000;1100000;0
4.4;15000;134000000;5000;1101000;1100000;10570000;126000;1100000;0
4.5;16000;126000000;4000;1101000;1100000;10180000;118000;1100000;0
4.6000000000000005;15000;136000000;6000;1100000;1100000;10500000;135000;1100000;0
4.7;16000;127000000;6000;1101000;1100000;10160000;117000;1100000;0
4.800000000000001;15000;216000000;6000;1102000;1101000;10580000;225000;1100000;0
4.9;16000;290000000;6000;1100000;1100000;10560000;272000;1100000;0
5.0;15000;298000000;6000;1099000;1100000;10920000;262000;1100000;0
5.1000000000000005;17000;244000000;5000;1101000;1100000;10620000;250000;1100000;0
5.2;15000;246000000;6000;1101000;1101000;10620000;178000;1100000;0
5.300000000000001;17000;317000000;6000;1099000;1100000;10560000;295000;1100000;0
5.4;15000;345000000;6000;1101000;1100000;10650000;298000;1100000;0
5.5;18000;341000000;6000;1101000;1101000;10920000;276000;1100000;0
5.6000000000000005;16000;285000000;6000;1100000;1100000;10530000;281000;1100000;0
5.7;16000;243000000;6000;1100000;1101000;10550000;227000;1100000;0
5.800000000000001;16000;301000000;6000;1100000;1100000;11000000;260000;1100000;0
5.9;16000;225000000;6000;1100000;1100000;10560000;199000;1100000;0
6.0;17000;220000000;6000;1100000;1100000;10590000;238000;1100000;0
6.1000000000000005;15000;207000000;6000;1102000;1102000;10540000;207000;1100000;0
6.2;15000;202000000;4000;1099000;1099000;10480000;161000;1100000;0
6.300000000000001;16000;145000000;5000;1100000;1100000;10180000;157000;1100000;0
6.4;15000;186000000;4000;1100000;1100000;10360000;190000;1100000;0
6.5;16000;154000000;5000;1101000;1100000;10460000;132000;1100000;0
6.6000000000000005;15000;163000000;4000;1101000;1101000;10550000;144000;1100000;0
6.7;15000;133000000;4000;1099000;1100000;10020000;111000;1100000;0
6.800000000000001;15000;148000000;5000;1101000;1101000;10420000;137000;1100000;0
6.9;15000;157000000;4000;1100000;1100000;10540000;149000;1100000;0
7.0;17000;139000000;6000;1102000;1102000;10030000;159000;1100000;0
7.1000000000000005;15000;143000000;6000;1099000;1099000;10540000;174000;1100000;0
7.2;15000;133000000;6000;1100000;1100000;10030000;106000;1100000;0
7.300000000000001;16000;145000000;6000;1100000;1100000;10440000;153000;1100000;0
7.4;15000;135000000;5000;1101000;1100000;10030000;139000;1100000;0
7.5;16000;140000000;6000;1101000;1100000;10440000;156000;1100000;0
7.6000000000000005;16000;137000000;6000;1101000;1101000;10010000;147000;1100000;0
7.7;16000;141000000;6000;1099000;1099000;10200000;134000;1100000;0
7.800000000000001;15000;153000000;6000;1103000;1103000;10340000;168000;1100000;0
7.9;16000;156000000;6000;1101000;1101000;10000000;193000;1100000;0
8.0;16000;194000000;6000;1099000;1099000;10620000;217000;1100000;0
8.1;16000;128000000;6000;1099000;1100000;9910000;135000;1100000;0
8.200000000000001;17000;194000000;5000;1101000;1101000;10470000;235000;1100000;0
8.3;16000;131000000;6000;1100000;1101000;10040000;151000;1100000;0
8.4;16000;150000000;6000;1100000;1100000;10430000;172000;1100000;0
8.5;16000;136000000;6000;1103000;1103000;9980000;153000;1100000;0
8.6;16000;140000000;5000;1099000;1099000;10010000;159000;1100000;0
8.700000000000001;15000;140000000;6000;1101000;1100000;9960000;179000;1100000;0
8.8;17000;144000000;6000;1098000;1098000;10240000;190000;1100000;0
8.9;15000;154000000;6000;1101000;1102000;10250000;211000;1100000;0
9.0;16000;141000000;5000;1100000;1100000;10070000;153000;1100000;0
9.1;16000;134000000;6000;1100000;1100000;10010000;174000;1100000;0
9.200000000000001;16000;141000000;5000;1099000;1100000;10180000;187000;1100000;0
9.3;15000;145000000;6000;1103000;1103000;10140000;166000;1100000;0
9.4;16000;139000000;5000;1099000;1099000;9850000;182000;1100000;0
9.5;16000;142000000;6000;1100000;1100000;10120000;209000;1100000;0
9.600000000000001;16000;137000000;6000;1099000;1100000;10130000;189000;1100000;0
9.700000000000001;15000;148000000;6000;1100000;1100000;10350000;219000;1100000;0
9.8;16000;135000000;6000;1101000;1102000;10100000;189000;1100000;0
9.9;16000;141000000;6000;1100000;1101000;10140000;173000;1100000;0
10.0;15000;132000000;6000;1100000;1101000;10060000;177000;1100000;0
10.100000000000001;16000;152000000;5000;1099000;1100000;10330000;249000;1100000;0
10.200000000000001;16000;153000000;6000;1101000;1100000;10200000;225000;1100000;0
10.3;16000;141000000;6000;1101000;1101000;10050000;229000;1100000;0
10.4;16000;142000000;6000;1100000;1099000;9850000;217000;1100000;0
10.5;16000;135000000;6000;1104000;1104000;10270000;196000;1100000;0
10.600000000000001;16000;136000000;6000;1097000;1096000;10100000;229000;1100000;0
10.700000000000001;16000;146000000;5000;1100000;1101000;10120000;223000;1100000;0
10.8;15000;145000000;6000;1102000;1102000;10450000;186000;1100000;0
10.9;17000;142000000;6000;1101000;1101000;9980000;229000;1100000;0
11.0;16000;134000000;5000;1099000;1098000;9990000;239000;1100000;0
11.100000000000001;16000;162000000;6000;1101000;1100000;10460000;269000;1100000;0
11.200000000000001;15000;136000000;5000;1095000;1096000;10100000;272000;1100000;0
11.3;16000;141000000;6000;1105000;1104000;10030000;260000;1100000;0
11.4;17000;167000000;6000;1100000;1100000;10380000;265000;1100000;0
11.5;16000;143000000;6000;1101000;1101000;9930000;238000;1100000;0
11.600000000000001;16000;161000000;6000;1099000;1098000;10250000;297000;1100000;0
11.700000000000001;16000;139000000;6000;1101000;1101000;10180000;303000;1100000;0
11.8;16000;125000000;6000;1101000;1101000;10040000;196000;1100000;0
11.9;15000;135000000;4000;1101000;1099000;9810000;213000;1100000;0
12.0;15000;152000000;6000;1101000;1101000;10390000;231000;1100000;0
12.100000000000001;17000;141000000;6000;1101000;1100000;9860000;257000;1100000;0
12.200000000000001;15000;139000000;6000;1100000;1100000;9870000;238000;1100000;0
12.3;16000;144000000;6000;1100000;1100000;10310000;258000;1100000;0
12.4;17000;139000000;6000;1100000;1099000;10000000;237000;1100000;0
12.5;16000;138000000;6000;1104000;1104000;10000000;289000;1100000;0
12.600000000000001;16000;133000000;6000;1097000;1097000;9880000;236000;1100000;0
12.700000000000001;16000;145000000;6000;1100000;1100000;10340000;313000;1100000;0
12.8;15000;140000000;4000;1102000;1102000;9840000;263000;1100000;0
12.9;17000;129000000;6000;1100000;1101000;9700000;202000;1100000;0
13.0;16000;137000000;6000;1099000;1099000;10080000;308000;1100000;0
13.100000000000001;15000;153000000;5000;1102000;1102000;10320000;297000;1100000;0
13.200000000000001;16000;135000000;6000;1100000;1099000;9890000;313000;1100000;0
13.3;17000;134000000;5000;1104000;1104000;9800000;174000;1100000;0
13.4;16000;147000000;5000;1098000;1098000;10360000;293000;1100000;0
13.5;17000;138000000;6000;1100000;1099000;9940000;260000;1100000;0
13.600000000000001;16000;142000000;6000;1105000;1105000;10360000;310000;1100000;0
13.700000000000001;17000;143000000;6000;1095000;1097000;9930000;298000;1100000;0
13.8;17000;147000000;6000;1098000;1099000;10130000;324000;1100000;0
13.9;15000;149000000;4000;1102000;1102000;9950000;281000;1100000;0
14.0;17000;134000000;6000;1099000;1100000;9610000;283000;1100000;0
14.100000000000001;16000;145000000;6000;1102000;1102000;10340000;348000;1100000;0
14.200000000000001;16000;127000000;6000;1100000;1101000;9710000;283000;1100000;0
14.3;16000;144000000;6000;1100000;1100000;10020000;298000;1100000;0
14.4;15000;138000000;5000;1099000;1099000;10090000;312000;1100000;0
14.5;17000;134000000;5000;1101000;1101000;9810000;300000;1100000;0
14.600000000000001;15000;140000000;6000;1100000;1100000;10330000;276000;1100000;0
14.700000000000001;17000;135000000;6000;1099000;1099000;9850000;299000;1100000;0
14.8;16000;144000000;6000;1106000;1097000;10130000;294000;1100000;0
14.9;16000;134000000;6000;1094000;1103000;9890000;376000;1100000;0
15.0;17000;146000000;6000;1106000;1107000;10130000;365000;1100000;0
15.100000000000001;17000;144000000;6000;1095000;1094000;10260000;441000;1100000;0
15.200000000000001;16000;136000000;6000;1102000;1102000;9890000;369000;1100000;0
15.3;16000;141000000;6000;1099000;1099000;10040000;303000;1100000;0
15.4;17000;131000000;5000;1100000;1100000;9780000;347000;1100000;0
